"","genus","species","latbi","commonName","symbol","phase","year","doy","numYs","plantNickname"
"3564","Betula","nigra","Betula nigra","River birch","BENI","recentFruitOrSeedDrop",2017,162,1,"1251-79*A"
"3565","Betula","nigra","Betula nigra","River birch","BENI","recentFruitOrSeedDrop",2017,167,1,"1251-79*A"
"3570","Betula","nigra","Betula nigra","River birch","BENI","fruits",2017,131,1,"1251-79*A"
"3571","Betula","nigra","Betula nigra","River birch","BENI","fruits",2017,139,1,"1251-79*A"
"3572","Betula","nigra","Betula nigra","River birch","BENI","fruits",2017,146,1,"1251-79*A"
"3578","Betula","nigra","Betula nigra","River birch","BENI","budburst",2017,101,1,"1251-79*B"
"3579","Betula","nigra","Betula nigra","River birch","BENI","budburst",2017,110,1,"1251-79*B"
"3580","Betula","nigra","Betula nigra","River birch","BENI","budburst",2017,139,1,"1251-79*B"
"3581","Betula","nigra","Betula nigra","River birch","BENI","budburst",2017,152,1,"1251-79*B"
"3583","Betula","nigra","Betula nigra","River birch","BENI","budburst",2017,160,1,"1251-79*B"
"3584","Betula","nigra","Betula nigra","River birch","BENI","budburst",2017,165,1,"1251-79*B"
"3585","Betula","nigra","Betula nigra","River birch","BENI","budburst",2017,173,1,"1251-79*B"
"3590","Betula","nigra","Betula nigra","River birch","BENI","ripeFruits",2017,153,1,"1251-79*B"
"3591","Betula","nigra","Betula nigra","River birch","BENI","ripeFruits",2017,158,1,"1251-79*B"
"3592","Betula","nigra","Betula nigra","River birch","BENI","ripeFruits",2017,168,1,"1251-79*B"
"3595","Betula","nigra","Betula nigra","River birch","BENI","increasingLeafSize",2017,117,1,"1251-79*B"
"3596","Betula","nigra","Betula nigra","River birch","BENI","increasingLeafSize",2017,141,1,"1251-79*B"
"3597","Betula","nigra","Betula nigra","River birch","BENI","increasingLeafSize",2017,149,1,"1251-79*B"
"3599","Betula","nigra","Betula nigra","River birch","BENI","increasingLeafSize",2017,160,1,"1251-79*B"
"3602","Betula","nigra","Betula nigra","River birch","BENI","increasingLeafSize",2017,184,1,"1251-79*B"
"3609","Betula","nigra","Betula nigra","River birch","BENI","leafDrop",2017,209,1,"1251-79*B"
"3611","Betula","nigra","Betula nigra","River birch","BENI","leafDrop",2017,230,1,"1251-79*B"
"3612","Betula","nigra","Betula nigra","River birch","BENI","leafDrop",2017,242,1,"1251-79*B"
"3613","Betula","nigra","Betula nigra","River birch","BENI","leafDrop",2017,250,1,"1251-79*B"
"3614","Betula","nigra","Betula nigra","River birch","BENI","leafDrop",2017,259,1,"1251-79*B"
"3616","Betula","nigra","Betula nigra","River birch","BENI","leafDrop",2017,276,1,"1251-79*B"
"3618","Betula","nigra","Betula nigra","River birch","BENI","leafDrop",2017,294,1,"1251-79*B"
"3620","Betula","nigra","Betula nigra","River birch","BENI","leafDrop",2017,316,1,"1251-79*B"
"3622","Betula","nigra","Betula nigra","River birch","BENI","leafout",2017,117,1,"1251-79*B"
"3623","Betula","nigra","Betula nigra","River birch","BENI","leafout",2017,225,1,"1251-79*B"
"3628","Betula","nigra","Betula nigra","River birch","BENI","coloredLeaves",2017,209,1,"1251-79*B"
"3629","Betula","nigra","Betula nigra","River birch","BENI","coloredLeaves",2017,230,1,"1251-79*B"
"3630","Betula","nigra","Betula nigra","River birch","BENI","coloredLeaves",2017,238,1,"1251-79*B"
"3632","Betula","nigra","Betula nigra","River birch","BENI","coloredLeaves",2017,276,1,"1251-79*B"
"3633","Betula","nigra","Betula nigra","River birch","BENI","coloredLeaves",2017,318,1,"1251-79*B"
"3636","Betula","nigra","Betula nigra","River birch","BENI","flowers",2017,109,1,"1251-79*B"
"3649","Betula","nigra","Betula nigra","River birch","BENI","openFlowers",2017,114,1,"1251-79*B"
"3656","Betula","nigra","Betula nigra","River birch","BENI","pollenRelease",2017,117,1,"1251-79*B"
"3657","Betula","nigra","Betula nigra","River birch","BENI","pollenRelease",2017,131,1,"1251-79*B"
"3663","Betula","nigra","Betula nigra","River birch","BENI","recentFruitOrSeedDrop",2017,158,1,"1251-79*B"
"3667","Betula","nigra","Betula nigra","River birch","BENI","fruits",2017,131,1,"1251-79*B"
"3668","Betula","nigra","Betula nigra","River birch","BENI","fruits",2017,136,1,"1251-79*B"
"3669","Betula","nigra","Betula nigra","River birch","BENI","fruits",2017,143,1,"1251-79*B"
"3670","Betula","nigra","Betula nigra","River birch","BENI","fruits",2017,168,1,"1251-79*B"
"3675","Betula","nigra","Betula nigra","River birch","BENI","budburst",2017,100,1,"1199*J"
"3676","Betula","nigra","Betula nigra","River birch","BENI","budburst",2017,112,1,"1199*J"
"3677","Betula","nigra","Betula nigra","River birch","BENI","budburst",2017,118,1,"1199*J"
"3683","Betula","nigra","Betula nigra","River birch","BENI","ripeFruits",2017,162,1,"1199*J"
"3684","Betula","nigra","Betula nigra","River birch","BENI","increasingLeafSize",2017,120,1,"1199*J"
"3693","Betula","nigra","Betula nigra","River birch","BENI","leafDrop",2017,247,1,"1199*J"
"3696","Betula","nigra","Betula nigra","River birch","BENI","leafDrop",2017,276,1,"1199*J"
"3698","Betula","nigra","Betula nigra","River birch","BENI","leafDrop",2017,300,1,"1199*J"
"3701","Betula","nigra","Betula nigra","River birch","BENI","leafout",2017,118,1,"1199*J"
"3705","Betula","nigra","Betula nigra","River birch","BENI","coloredLeaves",2017,250,1,"1199*J"
"3707","Betula","nigra","Betula nigra","River birch","BENI","coloredLeaves",2017,276,1,"1199*J"
"3711","Betula","nigra","Betula nigra","River birch","BENI","flowers",2017,118,1,"1199*J"
"3719","Betula","nigra","Betula nigra","River birch","BENI","openFlowers",2017,118,1,"1199*J"
"3723","Betula","nigra","Betula nigra","River birch","BENI","pollenRelease",2017,117,1,"1199*J"
"3727","Betula","nigra","Betula nigra","River birch","BENI","recentFruitOrSeedDrop",2017,162,1,"1199*J"
"3732","Betula","nigra","Betula nigra","River birch","BENI","fruits",2017,139,1,"1199*J"
"3733","Betula","nigra","Betula nigra","River birch","BENI","fruits",2017,149,1,"1199*J"
"3774","Carya","glabra","Carya glabra","Pignut hickory","CAGL8","budburst",2017,110,1,"20098*A"
"3780","Carya","glabra","Carya glabra","Pignut hickory","CAGL8","ripeFruits",2017,253,1,"20098*A"
"3784","Carya","glabra","Carya glabra","Pignut hickory","CAGL8","increasingLeafSize",2017,124,1,"20098*A"
"3791","Carya","glabra","Carya glabra","Pignut hickory","CAGL8","leafDrop",2017,253,1,"20098*A"
"3795","Carya","glabra","Carya glabra","Pignut hickory","CAGL8","leafDrop",2017,300,1,"20098*A"
"3798","Carya","glabra","Carya glabra","Pignut hickory","CAGL8","leafout",2017,118,1,"20098*A"
"3799","Carya","glabra","Carya glabra","Pignut hickory","CAGL8","leafout",2017,272,1,"20098*A"
"3803","Carya","glabra","Carya glabra","Pignut hickory","CAGL8","coloredLeaves",2017,253,1,"20098*A"
"3804","Carya","glabra","Carya glabra","Pignut hickory","CAGL8","coloredLeaves",2017,285,1,"20098*A"
"3807","Carya","glabra","Carya glabra","Pignut hickory","CAGL8","flowers",2017,118,1,"20098*A"
"3808","Carya","glabra","Carya glabra","Pignut hickory","CAGL8","openFlowers",2017,124,1,"20098*A"
"3811","Carya","glabra","Carya glabra","Pignut hickory","CAGL8","pollenRelease",2017,126,1,"20098*A"
"3817","Carya","glabra","Carya glabra","Pignut hickory","CAGL8","recentFruitOrSeedDrop",2017,253,1,"20098*A"
"3818","Carya","glabra","Carya glabra","Pignut hickory","CAGL8","recentFruitOrSeedDrop",2017,288,1,"20098*A"
"3822","Carya","glabra","Carya glabra","Pignut hickory","CAGL8","fruits",2017,166,1,"20098*A"
"3827","Carya","glabra","Carya glabra","Pignut hickory","CAGL8","budburst",2017,100,1,"6990*A"
"3828","Carya","glabra","Carya glabra","Pignut hickory","CAGL8","budburst",2017,131,1,"6990*A"
"3832","Carya","glabra","Carya glabra","Pignut hickory","CAGL8","ripeFruits",2017,266,1,"6990*A"
"3834","Carya","glabra","Carya glabra","Pignut hickory","CAGL8","increasingLeafSize",2017,117,1,"6990*A"
"3835","Carya","glabra","Carya glabra","Pignut hickory","CAGL8","increasingLeafSize",2017,124,1,"6990*A"
"3837","Carya","glabra","Carya glabra","Pignut hickory","CAGL8","leafDrop",2017,253,1,"6990*A"
"3838","Carya","glabra","Carya glabra","Pignut hickory","CAGL8","leafDrop",2017,274,1,"6990*A"
"3841","Carya","glabra","Carya glabra","Pignut hickory","CAGL8","leafout",2017,114,1,"6990*A"
"3842","Carya","glabra","Carya glabra","Pignut hickory","CAGL8","leafout",2017,141,1,"6990*A"
"3843","Carya","glabra","Carya glabra","Pignut hickory","CAGL8","leafout",2017,209,1,"6990*A"
"3845","Carya","glabra","Carya glabra","Pignut hickory","CAGL8","leafout",2017,284,1,"6990*A"
"3847","Carya","glabra","Carya glabra","Pignut hickory","CAGL8","coloredLeaves",2017,253,1,"6990*A"
"3850","Carya","glabra","Carya glabra","Pignut hickory","CAGL8","flowers",2017,134,1,"6990*A"
"3853","Carya","glabra","Carya glabra","Pignut hickory","CAGL8","openFlowers",2017,134,1,"6990*A"
"3857","Carya","glabra","Carya glabra","Pignut hickory","CAGL8","pollenRelease",2017,134,1,"6990*A"
"3862","Carya","glabra","Carya glabra","Pignut hickory","CAGL8","recentFruitOrSeedDrop",2017,266,1,"6990*A"
"3863","Carya","glabra","Carya glabra","Pignut hickory","CAGL8","recentFruitOrSeedDrop",2017,284,1,"6990*A"
"3865","Carya","glabra","Carya glabra","Pignut hickory","CAGL8","fruits",2017,172,1,"6990*A"
"3866","Carya","glabra","Carya glabra","Pignut hickory","CAGL8","fruits",2017,241,1,"6990*A"
"3867","Carya","glabra","Carya glabra","Pignut hickory","CAGL8","fruits",2017,266,1,"6990*A"
"3869","Carya","glabra","Carya glabra","Pignut hickory","CAGL8","budburst",2017,100,1,"2019*S"
"3872","Carya","glabra","Carya glabra","Pignut hickory","CAGL8","budburst",2017,114,1,"2019*S"
"3874","Carya","glabra","Carya glabra","Pignut hickory","CAGL8","budburst",2017,134,1,"2019*S"
"3880","Carya","glabra","Carya glabra","Pignut hickory","CAGL8","ripeFruits",2017,253,1,"2019*S"
"3881","Carya","glabra","Carya glabra","Pignut hickory","CAGL8","ripeFruits",2017,301,1,"2019*S"
"3882","Carya","glabra","Carya glabra","Pignut hickory","CAGL8","increasingLeafSize",2017,124,1,"2019*S"
"3886","Carya","glabra","Carya glabra","Pignut hickory","CAGL8","leafDrop",2017,253,1,"2019*S"
"3890","Carya","glabra","Carya glabra","Pignut hickory","CAGL8","leafDrop",2017,300,1,"2019*S"
"3893","Carya","glabra","Carya glabra","Pignut hickory","CAGL8","leafout",2017,118,1,"2019*S"
"3894","Carya","glabra","Carya glabra","Pignut hickory","CAGL8","leafout",2017,272,1,"2019*S"
"3896","Carya","glabra","Carya glabra","Pignut hickory","CAGL8","coloredLeaves",2017,253,1,"2019*S"
"3897","Carya","glabra","Carya glabra","Pignut hickory","CAGL8","coloredLeaves",2017,285,1,"2019*S"
"3899","Carya","glabra","Carya glabra","Pignut hickory","CAGL8","flowers",2017,118,1,"2019*S"
"3900","Carya","glabra","Carya glabra","Pignut hickory","CAGL8","flowers",2017,127,1,"2019*S"
"3902","Carya","glabra","Carya glabra","Pignut hickory","CAGL8","openFlowers",2017,134,1,"2019*S"
"3903","Carya","glabra","Carya glabra","Pignut hickory","CAGL8","openFlowers",2017,141,1,"2019*S"
"3911","Carya","glabra","Carya glabra","Pignut hickory","CAGL8","recentFruitOrSeedDrop",2017,253,1,"2019*S"
"3912","Carya","glabra","Carya glabra","Pignut hickory","CAGL8","recentFruitOrSeedDrop",2017,301,1,"2019*S"
"3916","Carya","glabra","Carya glabra","Pignut hickory","CAGL8","fruits",2017,166,1,"2019*S"
"3917","Carya","glabra","Carya glabra","Pignut hickory","CAGL8","fruits",2017,301,1,"2019*S"
"3919","Carya","glabra","Carya glabra","Pignut hickory","CAGL8","budburst",2017,100,1,"2019*R"
"3920","Carya","glabra","Carya glabra","Pignut hickory","CAGL8","budburst",2017,110,1,"2019*R"
"3922","Carya","glabra","Carya glabra","Pignut hickory","CAGL8","budburst",2017,134,1,"2019*R"
"3928","Carya","glabra","Carya glabra","Pignut hickory","CAGL8","ripeFruits",2017,253,1,"2019*R"
"3930","Carya","glabra","Carya glabra","Pignut hickory","CAGL8","increasingLeafSize",2017,117,1,"2019*R"
"3931","Carya","glabra","Carya glabra","Pignut hickory","CAGL8","increasingLeafSize",2017,124,1,"2019*R"
"3932","Carya","glabra","Carya glabra","Pignut hickory","CAGL8","increasingLeafSize",2017,152,1,"2019*R"
"3933","Carya","glabra","Carya glabra","Pignut hickory","CAGL8","increasingLeafSize",2017,166,1,"2019*R"
"3936","Carya","glabra","Carya glabra","Pignut hickory","CAGL8","leafDrop",2017,253,1,"2019*R"
"3940","Carya","glabra","Carya glabra","Pignut hickory","CAGL8","leafDrop",2017,300,1,"2019*R"
"3943","Carya","glabra","Carya glabra","Pignut hickory","CAGL8","leafout",2017,117,1,"2019*R"
"3944","Carya","glabra","Carya glabra","Pignut hickory","CAGL8","leafout",2017,272,1,"2019*R"
"3948","Carya","glabra","Carya glabra","Pignut hickory","CAGL8","coloredLeaves",2017,253,1,"2019*R"
"3949","Carya","glabra","Carya glabra","Pignut hickory","CAGL8","coloredLeaves",2017,285,1,"2019*R"
"3950","Carya","glabra","Carya glabra","Pignut hickory","CAGL8","coloredLeaves",2017,306,1,"2019*R"
"3952","Carya","glabra","Carya glabra","Pignut hickory","CAGL8","flowers",2017,117,1,"2019*R"
"3953","Carya","glabra","Carya glabra","Pignut hickory","CAGL8","flowers",2017,135,1,"2019*R"
"3954","Carya","glabra","Carya glabra","Pignut hickory","CAGL8","flowers",2017,153,1,"2019*R"
"3955","Carya","glabra","Carya glabra","Pignut hickory","CAGL8","openFlowers",2017,126,1,"2019*R"
"3965","Carya","glabra","Carya glabra","Pignut hickory","CAGL8","recentFruitOrSeedDrop",2017,253,1,"2019*R"
"3968","Carya","glabra","Carya glabra","Pignut hickory","CAGL8","fruits",2017,147,1,"2019*R"
"3969","Carya","glabra","Carya glabra","Pignut hickory","CAGL8","fruits",2017,165,1,"2019*R"
"3974","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","budburst",2017,105,1,"12907*B"
"3975","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","budburst",2017,139,1,"12907*B"
"3977","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","ripeFruits",2017,242,1,"12907*B"
"3978","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","ripeFruits",2017,251,1,"12907*B"
"3980","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","ripeFruits",2017,278,1,"12907*B"
"3981","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","ripeFruits",2017,301,1,"12907*B"
"3983","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","increasingLeafSize",2017,118,1,"12907*B"
"3984","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","increasingLeafSize",2017,124,1,"12907*B"
"3985","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","increasingLeafSize",2017,159,1,"12907*B"
"3989","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","increasingLeafSize",2017,191,1,"12907*B"
"3990","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","leafDrop",2017,253,1,"12907*B"
"3991","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","leafDrop",2017,264,1,"12907*B"
"3992","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","leafDrop",2017,278,1,"12907*B"
"3994","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","leafDrop",2017,288,1,"12907*B"
"3995","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","leafDrop",2017,294,1,"12907*B"
"3996","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","leafDrop",2017,304,1,"12907*B"
"3997","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","leafDrop",2017,313,1,"12907*B"
"3998","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","leafout",2017,118,1,"12907*B"
"4000","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","coloredLeaves",2017,264,1,"12907*B"
"4002","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","coloredLeaves",2017,278,1,"12907*B"
"4003","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","coloredLeaves",2017,285,1,"12907*B"
"4004","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","flowers",2017,118,1,"12907*B"
"4005","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","flowers",2017,124,1,"12907*B"
"4006","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","flowers",2017,129,1,"12907*B"
"4007","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","flowers",2017,151,1,"12907*B"
"4010","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","openFlowers",2017,125,1,"12907*B"
"4011","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","openFlowers",2017,133,1,"12907*B"
"4012","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","openFlowers",2017,139,1,"12907*B"
"4013","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","openFlowers",2017,152,1,"12907*B"
"4017","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","pollenRelease",2017,133,1,"12907*B"
"4025","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","recentFruitOrSeedDrop",2017,242,1,"12907*B"
"4026","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","recentFruitOrSeedDrop",2017,251,1,"12907*B"
"4031","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","fruits",2017,172,1,"12907*B"
"4033","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","fruits",2017,278,1,"12907*B"
"4035","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","fruits",2017,300,1,"12907*B"
"4036","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","fruits",2017,313,1,"12907*B"
"4041","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","budburst",2017,105,1,"12907*D"
"4042","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","budburst",2017,129,1,"12907*D"
"4043","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","budburst",2017,139,1,"12907*D"
"4045","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","ripeFruits",2017,242,1,"12907*D"
"4046","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","ripeFruits",2017,251,1,"12907*D"
"4047","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","ripeFruits",2017,267,1,"12907*D"
"4052","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","increasingLeafSize",2017,118,1,"12907*D"
"4053","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","increasingLeafSize",2017,159,1,"12907*D"
"4059","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","leafDrop",2017,253,1,"12907*D"
"4060","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","leafDrop",2017,264,1,"12907*D"
"4063","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","leafDrop",2017,294,1,"12907*D"
"4066","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","leafout",2017,118,1,"12907*D"
"4069","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","coloredLeaves",2017,264,1,"12907*D"
"4071","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","flowers",2017,118,1,"12907*D"
"4072","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","flowers",2017,151,1,"12907*D"
"4075","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","openFlowers",2017,125,1,"12907*D"
"4076","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","openFlowers",2017,133,1,"12907*D"
"4077","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","openFlowers",2017,139,1,"12907*D"
"4078","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","openFlowers",2017,152,1,"12907*D"
"4082","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","pollenRelease",2017,133,1,"12907*D"
"4089","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","recentFruitOrSeedDrop",2017,242,1,"12907*D"
"4090","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","recentFruitOrSeedDrop",2017,251,1,"12907*D"
"4091","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","recentFruitOrSeedDrop",2017,294,1,"12907*D"
"4096","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","fruits",2017,172,1,"12907*D"
"4100","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","fruits",2017,313,1,"12907*D"
"4105","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","budburst",2017,105,1,"12907*G"
"4106","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","budburst",2017,136,1,"12907*G"
"4110","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","ripeFruits",2017,242,1,"12907*G"
"4111","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","ripeFruits",2017,251,1,"12907*G"
"4113","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","ripeFruits",2017,293,1,"12907*G"
"4114","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","ripeFruits",2017,304,1,"12907*G"
"4115","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","ripeFruits",2017,318,1,"12907*G"
"4116","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","increasingLeafSize",2017,117,1,"12907*G"
"4117","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","increasingLeafSize",2017,124,1,"12907*G"
"4118","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","increasingLeafSize",2017,159,1,"12907*G"
"4122","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","increasingLeafSize",2017,191,1,"12907*G"
"4123","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","leafDrop",2017,253,1,"12907*G"
"4126","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","leafDrop",2017,288,1,"12907*G"
"4127","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","leafDrop",2017,293,1,"12907*G"
"4128","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","leafDrop",2017,304,1,"12907*G"
"4129","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","leafDrop",2017,314,1,"12907*G"
"4130","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","leafout",2017,117,1,"12907*G"
"4131","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","leafout",2017,314,1,"12907*G"
"4132","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","coloredLeaves",2017,253,1,"12907*G"
"4133","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","coloredLeaves",2017,285,1,"12907*G"
"4134","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","coloredLeaves",2017,314,1,"12907*G"
"4136","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","flowers",2017,117,1,"12907*G"
"4137","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","flowers",2017,124,1,"12907*G"
"4139","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","flowers",2017,153,1,"12907*G"
"4140","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","flowers",2017,158,1,"12907*G"
"4143","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","openFlowers",2017,125,1,"12907*G"
"4144","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","openFlowers",2017,129,1,"12907*G"
"4149","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","pollenRelease",2017,133,1,"12907*G"
"4157","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","recentFruitOrSeedDrop",2017,242,1,"12907*G"
"4158","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","recentFruitOrSeedDrop",2017,251,1,"12907*G"
"4159","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","recentFruitOrSeedDrop",2017,288,1,"12907*G"
"4160","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","recentFruitOrSeedDrop",2017,314,1,"12907*G"
"4164","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","fruits",2017,165,1,"12907*G"
"4165","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","fruits",2017,172,1,"12907*G"
"4167","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","fruits",2017,300,1,"12907*G"
"4170","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","fruits",2017,318,1,"12907*G"
"4175","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","budburst",2017,105,1,"12907*I"
"4176","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","budburst",2017,129,1,"12907*I"
"4177","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","budburst",2017,139,1,"12907*I"
"4181","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","ripeFruits",2017,242,1,"12907*I"
"4182","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","ripeFruits",2017,247,1,"12907*I"
"4183","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","ripeFruits",2017,270,1,"12907*I"
"4184","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","ripeFruits",2017,288,1,"12907*I"
"4186","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","increasingLeafSize",2017,118,1,"12907*I"
"4187","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","increasingLeafSize",2017,159,1,"12907*I"
"4194","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","leafDrop",2017,253,1,"12907*I"
"4195","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","leafDrop",2017,264,1,"12907*I"
"4198","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","leafDrop",2017,288,1,"12907*I"
"4199","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","leafDrop",2017,300,1,"12907*I"
"4200","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","leafDrop",2017,304,1,"12907*I"
"4202","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","leafout",2017,118,1,"12907*I"
"4203","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","leafout",2017,183,1,"12907*I"
"4209","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","coloredLeaves",2017,260,1,"12907*I"
"4210","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","coloredLeaves",2017,285,1,"12907*I"
"4213","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","flowers",2017,118,1,"12907*I"
"4214","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","flowers",2017,151,1,"12907*I"
"4218","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","openFlowers",2017,125,1,"12907*I"
"4219","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","openFlowers",2017,133,1,"12907*I"
"4220","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","openFlowers",2017,139,1,"12907*I"
"4221","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","openFlowers",2017,152,1,"12907*I"
"4225","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","pollenRelease",2017,133,1,"12907*I"
"4233","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","recentFruitOrSeedDrop",2017,242,1,"12907*I"
"4234","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","recentFruitOrSeedDrop",2017,247,1,"12907*I"
"4239","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","fruits",2017,172,1,"12907*I"
